epoch_s,name,response_time_ms,success
1776389757.162748,/collect,5469.67,1
1776389757.164263,/collect,5475.9,1
1776389756.161438,/collect,7603.53,1
1776389763.385169,/collect,468.09,1
1776389756.170302,/collect,7800.82,1
1776389763.915819,/collect,291.51,1
1776389764.824404,/collect,281.93,1
1776389765.053425,/collect,283.58,1
1776389765.050387,/collect,287.18,1
1776389765.334906,/collect,331.86,1
1776389765.887559,/collect,255.49,1
1776389766.266291,/collect,234.93,1
1776389766.270962,/collect,263.36,1
1776389766.783048,/collect,245.25,1
1776389766.886976,/collect,284.34,1
1776389767.094025,/collect,303.25,1
1776389767.728180,/collect,250.68,1
1776389768.110582,/collect,275.86,1
1776389768.412061,/collect,292.24,1
1776389768.472694,/collect,265.65,1
1776389768.513063,/collect,274.11,1
1776389769.112899,/collect,277.58,1
1776389769.371849,/collect,256.6,1
1776389769.451101,/collect,299.67,1
1776389769.621157,/collect,283.74,1
1776389770.507025,/collect,293.51,1
1776389770.772828,/collect,232.81,1
1776389770.960182,/collect,276.74,1
1776389771.058246,/collect,287.01,1
1776389771.347739,/collect,295.81,1
1776389771.864164,/collect,282.5,1
1776389772.381870,/collect,280.6,1
1776389772.417965,/collect,291.05,1
1776389772.677334,/collect,296.35,1
1776389772.995213,/collect,287.31,1
1776389773.517286,/collect,281.47,1
1776389773.557055,/collect,289.33,1
1776389773.825368,/collect,278.49,1
1776389773.840171,/collect,328.56,1
1776389774.790438,/collect,316.92,1
1776389774.983869,/collect,389.11,1
1776389775.222127,/collect,290.7,1
1776389775.514266,/collect,279.12,1
1776389775.791171,/collect,286.5,1
1776389776.309098,/collect,278.82,1
1776389776.774642,/collect,268.0,1
1776389777.037726,/collect,405.1,1
1776389777.119204,/collect,498.59,1
1776389777.429445,/collect,284.67,1
1776389778.231147,/collect,289.6,1
1776389778.342952,/collect,276.84,1
1776389778.374813,/collect,290.25,1
1776389778.644376,/collect,260.55,1
1776389779.462147,/collect,243.01,1
1776389779.633034,/collect,285.05,1
1776389779.730771,/collect,283.15,1
1776389779.808785,/collect,284.98,1
1776389780.816043,/collect,300.29,1
1776389780.863288,/collect,351.76,1
1776389781.059394,/collect,243.43,1
1776389781.342333,/collect,286.44,1
1776389781.993617,/collect,250.62,1
1776389782.541219,/collect,296.77,1
1776389782.564169,/collect,343.26,1
1776389782.949064,/collect,280.04,1
1776389783.428868,/collect,284.22,1
1776389783.508140,/collect,282.88,1
1776389783.829434,/collect,290.31,1
1776389783.797618,/collect,528.53,1
1776389784.634029,/collect,333.64,1
1776389784.857299,/collect,360.5,1
1776389785.171352,/collect,263.66,1
1776389785.367613,/collect,256.7,1
1776389786.060228,/collect,279.68,1
1776389786.372478,/collect,286.42,1
1776389786.859806,/collect,247.29,1
1776389786.826778,/collect,281.04,1
1776389787.427490,/collect,288.59,1
1776389787.572468,/collect,250.77,1
1776389788.072022,/collect,296.97,1
1776389788.378528,/collect,284.48,1
1776389788.355034,/collect,339.84,1
1776389788.998658,/collect,277.48,1
1776389789.126676,/collect,284.61,1
1776389789.780151,/collect,259.07,1
1776389789.799181,/collect,286.13,1
1776389789.996347,/collect,235.02,1
1776389790.261083,/collect,240.34,1
1776389790.582063,/collect,263.1,1
1776389790.934749,/collect,275.27,1
1776389791.343213,/collect,288.04,1
1776389791.821044,/collect,285.33,1
1776389791.929864,/collect,262.49,1
1776389792.425974,/collect,285.22,1
1776389792.795754,/collect,306.41,1
1776389792.960176,/collect,347.17,1
1776389792.998154,/collect,373.26,1
1776389794.161705,/collect,375.62,1
1776389794.308690,/collect,294.02,1
1776389794.390500,/collect,292.75,1
1776389794.600977,/collect,286.26,1
1776389795.050035,/collect,283.12,1
1776389795.613885,/collect,269.27,1
1776389796.044658,/collect,279.58,1
1776389796.042889,/collect,282.01,1
1776389796.304855,/collect,314.38,1
1776389796.648760,/collect,277.41,1
1776389796.874868,/collect,277.62,1
1776389796.905637,/collect,310.69,1
1776389797.336770,/collect,289.86,1
1776389797.826478,/collect,263.88,1
1776389797.828756,/collect,347.6,1
1776389798.041747,/collect,364.56,1
1776389798.744428,/collect,276.89,1
1776389798.799519,/collect,246.9,1
1776389799.337245,/collect,281.34,1
1776389799.740185,/collect,281.51,1
1776389799.945285,/collect,279.05,1
1776389800.435998,/collect,349.7,1
1776389800.586983,/collect,276.52,1
1776389800.832221,/collect,268.42,1
1776389801.393713,/collect,288.92,1
1776389802.062467,/collect,267.11,1
1776389802.164470,/collect,442.89,1
1776389802.291670,/collect,443.2,1
1776389802.763454,/collect,224.15,1
1776389803.299737,/collect,298.82,1
1776389803.490469,/collect,246.99,1
1776389803.928072,/collect,279.35,1
1776389804.291142,/collect,252.49,1
1776389804.935572,/collect,251.54,1
1776389805.051302,/collect,258.43,1
1776389805.182126,/collect,259.25,1
1776389805.404459,/collect,240.15,1
1776389805.935453,/collect,256.03,1
1776389805.964783,/collect,227.55,1
1776389806.586461,/collect,255.17,1
1776389806.857210,/collect,257.3,1
1776389807.318536,/collect,7270.2,1
1776389807.591583,/collect,7133.68,1
1776389807.736431,/collect,7279.34,1
1776389815.120427,/collect,253.33,1
1776389808.213972,/collect,7227.77,1
1776389815.711529,/collect,349.84,1
1776389815.789742,/collect,532.24,1
1776389816.289165,/collect,597.56,1
1776389816.288187,/collect,754.96,1
1776389816.296862,/collect,1068.28,1
1776389816.308742,/collect,1160.4,1
1776389816.319833,/collect,1149.69,1
1776389816.297583,/collect,1172.2,1
1776389816.296105,/collect,1193.18,1
1776389816.306640,/collect,1202.56,1
1776389816.289860,/collect,1220.28,1
1776389816.318740,/collect,1192.08,1
1776389816.308056,/collect,1210.77,1
1776389816.294668,/collect,1242.48,1
1776389816.312237,/collect,1243.36,1
1776389816.316605,/collect,1255.62,1
1776389816.290641,/collect,1282.45,1
1776389816.301834,/collect,1281.99,1
1776389816.298962,/collect,1285.49,1
1776389816.314384,/collect,1290.54,1
1776389816.307391,/collect,1313.87,1
1776389816.630339,/collect,1054.08,1
1776389817.530521,/collect,274.25,1
1776389816.317632,/collect,1548.35,1
1776389816.305860,/collect,1560.85,1
1776389816.532237,/collect,1335.02,1
1776389817.709001,/collect,257.1,1
1776389816.315568,/collect,1656.68,1
1776389816.292730,/collect,1706.5,1
1776389816.303331,/collect,1707.83,1
1776389816.295419,/collect,1894.8,1
1776389816.311126,/collect,1978.34,1
1776389816.293531,/collect,2003.07,1
1776389816.305035,/collect,1994.27,1
1776389818.036808,/collect,267.89,1
1776389816.298229,/collect,2029.32,1
1776389816.301049,/collect,2115.2,1
1776389816.302623,/collect,2118.04,1
1776389816.304145,/collect,2135.54,1
1776389818.244803,/collect,248.22,1
1776389816.299669,/collect,2199.61,1
1776389816.291711,/collect,2225.1,1
1776389818.308976,/collect,232.99,1
1776389818.201867,/collect,369.19,1
1776389816.313306,/collect,2266.88,1
1776389818.281475,/collect,313.28,1
1776389818.458188,/collect,318.64,1
1776389816.309613,/collect,2469.64,1
1776389818.559021,/collect,226.68,1
1776389818.326249,/collect,490.49,1
1776389818.307159,/collect,648.62,1
1776389818.798190,/collect,310.54,1
1776389818.478468,/collect,651.08,1
1776389818.889988,/collect,271.31,1
1776389818.837282,/collect,334.1,1
1776389818.840805,/collect,346.6,1
1776389818.515270,/collect,716.21,1
1776389819.017840,/collect,216.03,1
1776389818.477112,/collect,811.63,1
